,구분,Month,pm2.5,pm10,o3,so2,no2,co
0,강남구,1월,43.0,61.0,0.01,0.037,0.7,0.006
1,강동구,1월,42.0,65.0,0.009,0.044,0.7,0.005
2,강북구,1월,39.0,71.0,0.018,0.031,0.7,0.004
3,강서구,1월,37.0,76.0,0.013,0.042,0.7,0.006
4,관악구,1월,42.0,72.0,0.011,0.047,0.7,0.005
5,광진구,1월,37.0,65.0,0.009,0.041,1.0,0.004
6,구로구,1월,30.0,67.0,0.012,0.037,0.5,0.007
7,금천구,1월,40.0,64.0,0.012,0.044,0.7,0.005
8,노원구,1월,42.0,68.0,0.011,0.04,0.8,0.007
9,도봉구,1월,36.0,62.0,0.017,0.03,0.9,0.005
10,동대문구,1월,42.0,61.0,0.013,0.037,0.8,0.008
11,동작구,1월,40.0,64.0,0.013,0.044,0.7,0.004
12,마포구,1월,38.0,73.0,0.01,0.03,0.7,0.003
13,서대문구,1월,39.0,66.0,0.012,0.032,1.1,0.005
14,서초구,1월,30.0,63.0,0.012,0.038,0.5,0.005
15,성동구,1월,41.0,75.0,0.012,0.042,0.7,0.004
16,성북구,1월,32.0,64.0,0.012,0.045,1.0,0.005
17,송파구,1월,37.0,69.0,0.009,0.047,0.8,0.005
18,양천구,1월,40.0,73.0,0.011,0.046,0.8,0.004
19,영등포구,1월,43.0,70.0,0.012,0.031,0.6,0.005
20,용산구,1월,35.0,54.0,0.01,0.043,0.7,0.004
21,은평구,1월,33.0,64.0,0.015,0.033,0.9,0.006
22,종로구,1월,33.0,60.0,0.013,0.042,0.8,0.005
23,중구,1월,33.0,60.0,0.014,0.042,0.7,0.005
24,중랑구,1월,36.0,58.0,0.012,0.035,0.7,0.007
25,강남구,2월,40.0,54.0,0.014,0.034,0.6,0.006
26,강동구,2월,39.0,58.0,0.015,0.04,0.6,0.004
27,강북구,2월,35.0,62.0,0.024,0.025,0.6,0.003
28,강서구,2월,35.0,65.0,0.02,0.037,0.7,0.006
29,관악구,2월,39.0,63.0,0.016,0.042,0.6,0.005
30,광진구,2월,35.0,56.0,0.015,0.036,0.9,0.004
31,구로구,2월,29.0,56.0,0.018,0.032,0.4,0.006
32,금천구,2월,37.0,57.0,0.017,0.04,0.7,0.004
33,노원구,2월,38.0,58.0,0.017,0.034,0.7,0.006
34,도봉구,2월,33.0,52.0,0.023,0.025,0.8,0.005
35,동대문구,2월,39.0,55.0,0.018,0.039,0.6,0.009
36,동작구,2월,39.0,59.0,0.019,0.041,0.6,0.004
37,마포구,2월,36.0,61.0,0.018,0.039,0.6,0.005
38,서대문구,2월,36.0,56.0,0.019,0.027,1.1,0.005
39,서초구,2월,31.0,54.0,0.018,0.036,0.4,0.005
40,성동구,2월,40.0,66.0,0.018,0.04,0.6,0.004
41,성북구,2월,30.0,55.0,0.017,0.039,0.9,0.004
42,송파구,2월,32.0,56.0,0.014,0.041,0.7,0.004
43,양천구,2월,37.0,64.0,0.017,0.041,0.7,0.004
44,영등포구,2월,40.0,60.0,0.016,0.044,0.7,0.005
45,용산구,2월,36.0,49.0,0.014,0.041,0.6,0.004
46,은평구,2월,31.0,57.0,0.022,0.027,0.8,0.006
47,종로구,2월,31.0,51.0,0.018,0.037,0.8,0.004
48,중구,2월,32.0,53.0,0.021,0.037,0.6,0.004
49,중랑구,2월,35.0,51.0,0.017,0.03,0.7,0.007
50,강남구,3월,47.0,64.0,0.023,0.03,0.5,0.006
51,강동구,3월,44.0,67.0,0.026,0.037,0.6,0.004
52,강북구,3월,42.0,73.0,0.034,0.024,0.6,0.003
53,강서구,3월,46.0,79.0,0.031,0.036,0.6,0.005
54,관악구,3월,50.0,75.0,0.034,0.033,0.5,0.006
55,광진구,3월,46.0,69.0,0.024,0.034,0.8,0.005
56,구로구,3월,44.0,72.0,0.029,0.029,0.4,0.006
57,금천구,3월,42.0,66.0,0.027,0.037,0.6,0.004
58,노원구,3월,45.0,67.0,0.025,0.034,0.6,0.005
59,도봉구,3월,43.0,65.0,0.033,0.024,0.6,0.005
60,동대문구,3월,43.0,64.0,0.031,0.032,0.6,0.005
61,동작구,3월,46.0,68.0,0.031,0.036,0.5,0.004
62,마포구,3월,48.0,77.0,0.027,0.03,0.6,0.004
63,서대문구,3월,47.0,69.0,0.029,0.029,1.0,0.005
64,서초구,3월,48.0,74.0,0.028,0.033,0.4,0.004
65,성동구,3월,51.0,80.0,0.028,0.038,0.6,0.003
66,성북구,3월,36.0,66.0,0.026,0.037,0.9,0.004
67,송파구,3월,41.0,67.0,0.026,0.039,0.6,0.004
68,양천구,3월,47.0,80.0,0.027,0.038,0.6,0.004
69,영등포구,3월,54.0,76.0,0.022,0.037,0.6,0.004
70,용산구,3월,45.0,59.0,0.025,0.04,0.6,0.004
71,은평구,3월,42.0,70.0,0.033,0.03,0.8,0.005
72,종로구,3월,39.0,61.0,0.029,0.037,0.7,0.004
73,중구,3월,39.0,62.0,0.032,0.037,0.6,0.004
74,중랑구,3월,43.0,60.0,0.027,0.029,0.5,0.006
75,강남구,4월,18.0,34.0,0.023,0.027,0.3,0.006
76,강동구,4월,18.0,37.0,0.026,0.031,0.4,0.004
77,강북구,4월,16.0,39.0,0.036,0.018,0.4,0.002
78,강서구,4월,19.0,42.0,0.032,0.032,0.5,0.005
79,관악구,4월,27.0,49.0,0.032,0.03,0.4,0.004
80,광진구,4월,24.0,43.0,0.026,0.029,0.7,0.004
81,구로구,4월,24.0,47.0,0.027,0.026,0.3,0.004
82,금천구,4월,19.0,38.0,0.027,0.033,0.4,0.003
83,노원구,4월,20.0,37.0,0.026,0.028,0.5,0.004
84,도봉구,4월,19.0,39.0,0.035,0.018,0.4,0.004
85,동대문구,4월,16.0,33.0,0.036,0.03,0.5,0.004
86,동작구,4월,19.0,39.0,0.031,0.031,0.4,0.003
87,마포구,4월,25.0,50.0,0.026,0.025,0.4,0.004
88,서대문구,4월,23.0,44.0,0.031,0.025,0.7,0.004
89,서초구,4월,26.0,49.0,0.027,0.03,0.3,0.004
90,성동구,4월,23.0,46.0,0.032,0.033,0.4,0.004
91,성북구,4월,18.0,42.0,0.027,0.034,0.7,0.003
92,송파구,4월,24.0,43.0,0.025,0.034,0.5,0.003
93,양천구,4월,20.0,44.0,0.027,0.034,0.5,0.004
94,영등포구,4월,30.0,52.0,0.022,0.034,0.4,0.003
95,용산구,4월,17.0,31.0,0.026,0.034,0.4,0.003
96,은평구,4월,21.0,44.0,0.035,0.022,0.5,0.004
97,종로구,4월,17.0,35.0,0.031,0.031,0.5,0.004
98,중구,4월,17.0,35.0,0.033,0.033,0.5,0.003
99,중랑구,4월,18.0,32.0,0.031,0.022,0.4,0.006
100,강남구,5월,26.0,43.0,0.037,0.025,0.4,0.006
101,강동구,5월,27.0,47.0,0.035,0.03,0.5,0.005
102,강북구,5월,25.0,52.0,0.045,0.019,0.5,0.003
103,강서구,5월,27.0,53.0,0.048,0.03,0.5,0.006
104,관악구,5월,34.0,62.0,0.046,0.028,0.4,0.004
105,광진구,5월,34.0,57.0,0.037,0.029,0.8,0.005
106,구로구,5월,36.0,61.0,0.045,0.023,0.3,0.004
107,금천구,5월,26.0,45.0,0.039,0.029,0.5,0.004
108,노원구,5월,27.0,48.0,0.038,0.027,0.5,0.005
109,도봉구,5월,28.0,53.0,0.048,0.018,0.5,0.005
110,동대문구,5월,23.0,43.0,0.049,0.028,0.5,0.005
111,동작구,5월,27.0,48.0,0.042,0.027,0.4,0.004
112,마포구,5월,35.0,65.0,0.042,0.023,0.4,0.004
113,서대문구,5월,31.0,59.0,0.045,0.025,0.7,0.005
114,서초구,5월,35.0,62.0,0.045,0.027,0.4,0.003
115,성동구,5월,30.0,55.0,0.048,0.034,0.5,0.004
116,성북구,5월,30.0,59.0,0.039,0.034,0.7,0.004
117,송파구,5월,31.0,54.0,0.041,0.034,0.5,0.004
118,양천구,5월,27.0,56.0,0.037,0.029,0.5,0.005
119,영등포구,5월,38.0,64.0,0.035,0.025,0.4,0.004
120,용산구,5월,26.0,41.0,0.04,0.035,0.5,0.004
121,은평구,5월,30.0,57.0,0.049,0.026,0.4,0.005
122,종로구,5월,22.0,44.0,0.041,0.033,0.5,0.005
123,중구,5월,23.0,44.0,0.048,0.033,0.5,0.004
124,중랑구,5월,27.0,42.0,0.044,0.022,0.4,0.007
125,강남구,6월,16.0,24.0,0.035,0.018,0.3,0.005
126,강동구,6월,18.0,26.0,0.032,0.021,0.4,0.003
127,강북구,6월,17.0,30.0,0.039,0.013,0.4,0.002
128,강서구,6월,18.0,27.0,0.043,0.021,0.4,0.005
129,관악구,6월,23.0,35.0,0.043,0.022,0.3,0.004
130,광진구,6월,26.0,32.0,0.033,0.02,0.6,0.004
131,구로구,6월,23.0,31.0,0.044,0.018,0.3,0.004
132,금천구,6월,18.0,25.0,0.032,0.023,0.4,0.003
133,노원구,6월,18.0,27.0,0.034,0.019,0.4,0.004
134,도봉구,6월,19.0,31.0,0.043,0.012,0.4,0.003
135,동대문구,6월,16.0,22.0,0.04,0.02,0.3,0.004
136,동작구,6월,18.0,29.0,0.036,0.021,0.4,0.003
137,마포구,6월,26.0,36.0,0.041,0.017,0.3,0.004
138,서대문구,6월,21.0,30.0,0.043,0.015,0.6,0.003
139,서초구,6월,25.0,32.0,0.04,0.022,0.3,0.004
140,성동구,6월,22.0,34.0,0.044,0.025,0.4,0.003
141,성북구,6월,20.0,31.0,0.035,0.024,0.6,0.003
142,송파구,6월,20.0,31.0,0.039,0.026,0.4,0.003
143,양천구,6월,18.0,30.0,0.034,0.022,0.4,0.004
144,영등포구,6월,26.0,37.0,0.034,0.025,0.3,0.003
145,용산구,6월,16.0,20.0,0.037,0.026,0.4,0.003
146,은평구,6월,22.0,31.0,0.044,0.019,0.3,0.004
147,종로구,6월,15.0,24.0,0.036,0.022,0.4,0.003
148,중구,6월,16.0,23.0,0.043,0.025,0.4,0.003
149,중랑구,6월,18.0,22.0,0.038,0.017,0.3,0.006
150,강남구,7월,18.0,29.0,0.027,0.015,0.3,0.005
151,강동구,7월,19.0,26.0,0.026,0.017,0.4,0.003
152,강북구,7월,20.0,33.0,0.032,0.013,0.4,0.002
153,강서구,7월,21.0,28.0,0.033,0.018,0.4,0.004
154,관악구,7월,15.0,26.0,0.041,0.019,0.2,0.004
155,광진구,7월,22.0,27.0,0.026,0.017,0.6,0.004
156,구로구,7월,14.0,16.0,0.038,0.015,0.3,0.004
157,금천구,7월,18.0,25.0,0.026,0.019,0.4,0.003
158,노원구,7월,22.0,29.0,0.029,0.017,0.4,0.003
159,도봉구,7월,14.0,23.0,0.034,0.01,0.4,0.003
160,동대문구,7월,18.0,21.0,0.031,0.017,0.4,0.004
161,동작구,7월,22.0,30.0,0.028,0.017,0.3,0.003
162,마포구,7월,20.0,25.0,0.035,0.014,0.5,0.004
163,서대문구,7월,19.0,26.0,0.035,0.013,0.6,0.003
164,서초구,7월,20.0,24.0,0.033,0.019,0.3,0.004
165,성동구,7월,21.0,31.0,0.033,0.021,0.4,0.003
166,성북구,7월,16.0,22.0,0.024,0.022,0.7,0.003
167,송파구,7월,16.0,23.0,0.032,0.021,0.3,0.003
168,양천구,7월,20.0,32.0,0.025,0.019,0.4,0.004
169,영등포구,7월,21.0,26.0,0.026,0.025,0.3,0.002
170,용산구,7월,20.0,21.0,0.032,0.022,0.4,0.003
171,은평구,7월,21.0,26.0,0.034,0.016,0.3,0.004
172,종로구,7월,17.0,25.0,0.027,0.02,0.4,0.003
173,중구,7월,18.0,26.0,0.031,0.023,0.4,0.003
174,중랑구,7월,17.0,22.0,0.026,0.015,0.3,0.006
175,강남구,8월,17.0,29.0,0.024,0.017,0.4,0.005
176,강동구,8월,18.0,23.0,0.025,0.019,0.4,0.003
177,강북구,8월,17.0,32.0,0.027,0.012,0.3,0.002
178,강서구,8월,19.0,27.0,0.035,0.018,0.4,0.004
179,관악구,8월,13.0,23.0,0.029,0.019,0.3,0.004
180,광진구,8월,19.0,28.0,0.03,0.018,0.7,0.004
181,구로구,8월,15.0,23.0,0.026,0.017,0.3,0.005
182,금천구,8월,17.0,24.0,0.027,0.019,0.4,0.003
183,노원구,8월,19.0,26.0,0.026,0.015,0.4,0.004
184,도봉구,8월,11.0,21.0,0.031,0.01,0.4,0.004
185,동대문구,8월,18.0,22.0,0.033,0.018,0.3,0.004
186,동작구,8월,20.0,30.0,0.029,0.018,0.4,0.003
187,마포구,8월,15.0,23.0,0.032,0.014,0.6,0.004
188,서대문구,8월,11.0,24.0,0.033,0.012,0.7,0.003
189,서초구,8월,16.0,23.0,0.035,0.022,0.3,0.004
190,성동구,8월,12.0,25.0,0.033,0.023,0.4,0.003
191,성북구,8월,15.0,27.0,0.028,0.021,0.6,0.003
192,송파구,8월,13.0,21.0,0.029,0.024,0.4,0.003
193,양천구,8월,18.0,31.0,0.029,0.019,0.4,0.004
194,영등포구,8월,17.0,24.0,0.033,0.026,0.4,0.003
195,용산구,8월,18.0,24.0,0.03,0.022,0.4,0.003
196,은평구,8월,18.0,26.0,0.035,0.015,0.5,0.004
197,종로구,8월,17.0,24.0,0.026,0.02,0.5,0.003
198,중구,8월,16.0,24.0,0.032,0.023,,0.003
199,중랑구,8월,15.0,21.0,0.028,0.014,0.4,0.006
200,강남구,9월,11.0,24.0,0.025,0.026,0.3,0.003
201,강동구,9월,13.0,19.0,0.024,0.019,0.4,0.003
202,강북구,9월,13.0,26.0,0.027,0.013,0.4,0.002
203,강서구,9월,13.0,24.0,0.022,0.023,0.4,0.004
204,관악구,9월,,,0.024,0.025,0.4,0.004
205,광진구,9월,15.0,24.0,0.023,0.018,0.6,0.004
206,구로구,9월,9.0,20.0,0.027,0.021,0.3,0.004
207,금천구,9월,12.0,19.0,0.02,0.023,0.4,0.003
208,노원구,9월,13.0,21.0,0.019,0.015,0.4,0.004
209,도봉구,9월,9.0,17.0,0.025,0.013,0.4,0.004
210,동대문구,9월,10.0,16.0,0.021,0.019,0.3,0.004
211,동작구,9월,11.0,27.0,0.019,0.022,0.4,0.003
212,마포구,9월,10.0,16.0,0.023,0.015,0.5,0.004
213,서대문구,9월,8.0,22.0,0.027,0.015,0.6,0.003
214,서초구,9월,11.0,19.0,0.027,0.025,0.3,0.003
215,성동구,9월,11.0,22.0,0.027,0.022,0.4,0.004
216,성북구,9월,11.0,29.0,0.021,0.022,0.6,0.003
217,송파구,9월,11.0,19.0,0.021,0.025,0.4,0.002
218,양천구,9월,13.0,26.0,0.024,0.026,0.4,0.004
219,영등포구,9월,13.0,21.0,0.024,0.026,0.3,0.003
220,용산구,9월,12.0,17.0,0.021,0.023,0.4,0.003
221,은평구,9월,14.0,22.0,0.028,0.018,0.5,0.004
222,종로구,9월,13.0,20.0,0.02,0.023,0.5,0.003
223,중구,9월,12.0,20.0,0.022,0.027,0.5,0.003
224,중랑구,9월,9.0,15.0,0.024,0.013,0.4,0.005
225,강남구,10월,14.0,33.0,0.023,0.032,0.4,0.003
226,강동구,10월,17.0,34.0,0.019,0.023,0.4,0.003
227,강북구,10월,18.0,36.0,0.025,0.015,0.4,0.002
228,강서구,10월,17.0,36.0,0.02,0.027,0.5,0.004
229,관악구,10월,15.0,44.0,0.013,0.02,0.5,0.003
230,광진구,10월,17.0,32.0,0.02,0.02,0.6,0.002
231,구로구,10월,11.0,26.0,0.027,0.026,0.3,0.004
232,금천구,10월,16.0,28.0,0.02,0.027,0.4,0.003
233,노원구,10월,17.0,26.0,0.017,0.014,0.5,0.004
234,도봉구,10월,13.0,25.0,0.022,0.018,0.5,0.002
235,동대문구,10월,13.0,44.0,0.021,0.026,0.5,0.002
236,동작구,10월,16.0,34.0,0.018,0.027,0.4,0.003
237,마포구,10월,16.0,43.0,0.025,0.032,0.5,0.003
238,서대문구,10월,12.0,28.0,0.025,0.018,0.6,0.003
239,서초구,10월,13.0,29.0,0.025,0.028,0.3,0.003
240,성동구,10월,14.0,29.0,0.022,0.026,0.4,0.003
241,성북구,10월,13.0,39.0,0.019,0.027,0.5,0.002
242,송파구,10월,15.0,29.0,0.02,0.028,0.5,0.003
243,양천구,10월,17.0,39.0,0.023,0.029,0.5,0.005
244,영등포구,10월,17.0,29.0,0.021,0.028,0.4,0.002
245,용산구,10월,15.0,24.0,0.02,0.027,0.4,0.003
246,은평구,10월,15.0,29.0,0.026,0.021,0.5,0.004
247,종로구,10월,16.0,28.0,0.017,0.026,0.5,0.003
248,중구,10월,15.0,27.0,0.02,0.029,0.5,0.003
249,중랑구,10월,13.0,46.0,0.021,0.024,0.5,0.002
250,강남구,11월,19.0,44.0,0.015,0.036,0.6,0.003
251,강동구,11월,25.0,54.0,0.011,0.036,0.6,0.003
252,강북구,11월,21.0,41.0,0.016,0.024,0.5,0.003
253,강서구,11월,25.0,49.0,0.013,0.036,0.6,0.005
254,관악구,11월,20.0,45.0,0.011,0.039,0.6,0.004
255,광진구,11월,20.0,41.0,0.011,0.028,0.6,0.002
256,구로구,11월,26.0,44.0,0.016,0.032,0.4,0.004
257,금천구,11월,21.0,35.0,0.011,0.037,0.6,0.003
258,노원구,11월,23.0,35.0,0.011,0.026,0.6,0.005
259,도봉구,11월,17.0,33.0,0.015,0.027,0.6,0.003
260,동대문구,11월,18.0,42.0,0.013,0.035,0.6,0.003
261,동작구,11월,24.0,43.0,0.012,0.038,0.6,0.004
262,마포구,11월,20.0,41.0,0.011,0.039,0.6,0.003
263,서대문구,11월,14.0,35.0,0.016,0.027,0.8,0.005
264,서초구,11월,22.0,46.0,0.017,0.039,0.4,0.004
265,성동구,11월,20.0,39.0,0.012,0.037,0.6,0.003
266,성북구,11월,16.0,47.0,0.012,0.035,0.7,0.003
267,송파구,11월,17.0,36.0,0.01,0.04,0.7,0.003
268,양천구,11월,23.0,50.0,0.015,0.038,0.6,0.006
269,영등포구,11월,21.0,36.0,0.012,0.035,0.5,0.003
270,용산구,11월,18.0,32.0,0.012,0.038,0.5,0.003
271,은평구,11월,18.0,35.0,0.017,0.031,0.8,0.004
272,종로구,11월,21.0,38.0,0.011,0.035,0.7,0.004
273,중구,11월,20.0,36.0,0.013,0.037,0.6,0.004
274,중랑구,11월,16.0,39.0,0.013,0.033,0.6,0.003
275,강남구,12월,28.0,43.0,0.011,0.036,0.6,0.003
276,강동구,12월,35.0,48.0,0.009,0.036,0.6,0.003
277,강북구,12월,31.0,46.0,0.014,0.039,0.6,0.003
278,강서구,12월,29.0,51.0,0.012,0.036,0.6,0.005
279,관악구,12월,27.0,43.0,0.011,0.039,0.6,0.003
280,광진구,12월,23.0,37.0,0.01,0.03,0.7,0.003
281,구로구,12월,28.0,40.0,0.015,0.031,0.4,0.004
282,금천구,12월,31.0,37.0,0.01,0.037,0.6,0.004
283,노원구,12월,32.0,38.0,0.011,0.035,0.7,0.005
284,도봉구,12월,25.0,37.0,0.014,0.027,0.7,0.003
285,동대문구,12월,27.0,43.0,0.01,0.036,0.7,0.003
286,동작구,12월,32.0,46.0,0.01,0.039,0.6,0.003
287,마포구,12월,28.0,40.0,0.009,0.039,0.7,0.003
288,서대문구,12월,21.0,40.0,0.013,0.03,0.8,0.005
289,서초구,12월,30.0,47.0,0.017,0.042,0.5,0.003
290,성동구,12월,27.0,38.0,0.01,0.037,0.6,0.004
291,성북구,12월,27.0,43.0,0.011,0.039,0.8,0.003
292,송파구,12월,22.0,36.0,0.008,0.038,0.7,0.004
293,양천구,12월,32.0,49.0,0.01,0.038,0.7,0.005
294,영등포구,12월,25.0,35.0,0.01,0.035,0.7,0.003
295,용산구,12월,30.0,36.0,0.009,0.032,0.6,0.003
296,은평구,12월,24.0,40.0,0.014,0.027,0.6,0.004
297,종로구,12월,32.0,42.0,0.01,0.035,0.7,0.004
298,중구,12월,31.0,40.0,0.011,0.034,0.7,0.003
299,중랑구,12월,23.0,42.0,0.011,0.034,0.6,0.003
