location,address,admin_region,code,x,y
강남구,서울 강남구 학동로 426 강남구청 별관 1동,삼성2동,11680590,127.0487603,37.51183935
강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),양재1동,11650651,127.0225308,37.46955773
강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,천호1동,11740600,127.1385817,37.54469098
강변북로,서울 성동구 강변북로 257 한강사업본부 옆,성수동,11200650,127.0410443,37.54042032
강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,수유제1동,11305610,127.0088389,37.6299267
강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,화곡제3동,11500560,126.8342728,37.54405576
공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,가양제1동,11500603,126.8343471,37.57310053
관악구,서울 관악구 신림동길 14 신림동 주민센터,신림동,11620695,126.9276129,37.48690034
관악산,과천시 자하동길 64 (관악산 중계소),중앙동,11620615,126.950618,37.48412242
광진구,서울 광진구 광나루로 571 구의 아리수정수센터,구의제2동,11215860,127.0944503,37.55100224
구로구,서울 구로구 가마산로 27길 45 구로고등학교,구로제5동,11530560,126.8884808,37.50203021
금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,시흥제5동,11545710,126.9124311,37.44874995
남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),용산2가동,11170520,126.9835321,37.54023873
노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),상계2동,11350640,127.0672655,37.65648818
도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,쌍문4동,11320681,127.0304077,37.65555058
도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,신사동,11680510,127.0213951,37.5257178
동대문구,서울 동대문구 천호대로13길 43 용두초등학교,용신동,11230536,127.0322863,37.57561621
동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,사당제4동,11590650,126.97077,37.48059083
동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,사당제1동,11590620,126.9774092,37.47971693
마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,망원1동,11440690,126.9002062,37.55275257
북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),우이동,11305645,127.000323,37.66035273
서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터),홍제3동,11410640,126.9511599,37.59202283
서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,반포2동,11650570,126.9956951,37.50637942
성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,성수1가제1동,11200650,127.0410443,37.54042032
성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,길음2동,11290685,127.027231,37.6079711
세곡,서울 강남구 밤고개로 337 (세곡사거리),세곡동,11680700,127.1043475,37.47107468
송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),삼전동,11710610,127.0919059,37.50172021
시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,독산제1동,11545610,126.8927203,37.46419939
신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),대흥동,11440600,126.9414005,37.55212202
양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,신정4동,11470650,126.8575706,37.52540925
영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),당산제1동,11560550,126.8968512,37.52393073
영등포로,서울 영등포구 영중로 37 (영등포시장사거리),영등포동,11560535,126.9078421,37.52152233
용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,한남동,11170685,127.005801,37.53710166
은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),불광제1동,11380520,126.9392715,37.61731254
정릉로,서울 성북구 돈암동 8-164번지,돈암제1동,11290580,127.0240416,37.59932704
종로,서울 종로구 종로 169 (종묘주차장 앞),종로1.2.3.4가동,11110615,126.9897333,37.57507655
종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터","종로5,6가동",11110630,127.004241,37.573016
중구,서울 중구 덕수궁길 15 시청서소문별관 3동,소공동,11140520,126.9743586,37.56429679
중랑구,서울 중랑구 용마산로 369 건강가정지원센터,면독3.8동,11260575,127.0973813,37.58459652
천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),길동,11740685,127.1459068,37.53972505
청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),을지로동,11140605,126.9964914,37.56664043
한강대로,서울 용산구 한강대로 405 (서울역 앞),남영동,11170530,126.9735057,37.54510712
행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),신곡리,,126.7863203,37.60908701
홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),전농제1동,11230560,127.051048,37.57901159
화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,공릉동,11350595,127.0727701,37.62411899
마포아트센터,서울 마포구 대흥로20길 28 (마포아트센터),대흥동,11440600,126.9414005,37.55212202
서울숲,서울 성동구 뚝섬로 273 (서울숲 방문자센터 옆),성수1가제1동,11200650,127.0410443,37.54042032
올림픽공원,서울 송파구 올림픽로 424 (서울역사편찬원),오륜동,11710566,127.1287213,37.51761746
자연사박물관,서울 서대문구 연희로32길 51 (서대문자연사박물관),서대문구,,126.9378582,37.57675199
항동,서울 구로구 연동로 240 (푸른수목원 내),구로구,,126.8236695,37.48196844