,2019,2020,2021,2022,2023
종로구,989810.00 ,1038141.00 ,1245726.08 ,1330953.04 ,1183033.07 
중구,1707929.00 ,1714650.00 ,1846319.34 ,2077956.54 ,1997441.83 
용산구,764486.00 ,1065879.00 ,1257714.75 ,1239146.60 ,1155484.97 
성동구,582273.00 ,793217.00 ,857948.84 ,894247.01 ,837167.29 
광진구,443149.00 ,497479.00 ,555083.14 ,585258.72 ,492212.07 
동대문구,436483.00 ,481487.00 ,542453.80 ,535952.20 ,630052.58 
중랑구,324915.00 ,386616.00 ,422322.54 ,390557.34 ,350221.73 
성북구,460128.00 ,522469.00 ,581425.10 ,537021.78 ,463764.03 
강북구,234701.00 ,279039.00 ,304577.58 ,289940.26 ,256998.53 
도봉구,252935.00 ,286797.00 ,332606.67 ,296879.29 ,280318.95 
노원구,346657.00 ,459240.00 ,492486.11 ,467794.46 ,404359.50 
은평구,394933.00 ,494541.00 ,508672.02 ,475273.05 ,425691.20 
서대문구,399249.00 ,484284.00 ,495952.41 ,502798.77 ,439610.96 
마포구,793808.00 ,940644.00 ,1045769.11 ,1014426.64 ,890302.84 
양천구,534297.00 ,647109.00 ,671972.14 ,624155.55 ,551227.75 
강서구,826542.00 ,961293.00 ,1045317.04 ,1016439.14 ,833403.59 
구로구,477101.00 ,620685.00 ,658308.13 ,695321.22 ,567403.35 
금천구,469419.00 ,508376.00 ,574099.59 ,591185.18 ,520511.25 
영등포구,1377273.00 ,1763015.00 ,1757241.77 ,1967085.24 ,1729708.01 
동작구,472049.00 ,555482.00 ,692161.50 ,560523.28 ,489105.95 
관악구,406752.00 ,468992.00 ,486896.56 ,473021.41 ,411467.73 
서초구,2010972.00 ,2263294.00 ,2658145.40 ,2611032.78 ,2404151.74 
강남구,3457856.00 ,3854409.00 ,4688044.87 ,4870050.50 ,4320552.78 
송파구,1573934.00 ,1679802.00 ,2013945.84 ,1853951.27 ,1621462.84 
강동구,703426.00 ,940722.00 ,869563.79 ,752477.98 ,718773.03 