location,address,admin_region,x,y,height,road,tree,building,river,cluster
강남구,서울 강남구 학동로 426 강남구청 별관 1동,삼성2동,37.51796816,127.0470598,29,1,0,1,0,1
강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),양재1동,37.48182784,127.0359572,28,1,1,1,0,3
강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,천호1동,37.54500381,127.1368198,27,0,0,1,0,1
강변북로,서울 성동구 강변북로 257 한강사업본부 옆,성수동,37.53896166,127.0416039,16,1,1,1,1,3
강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,수유제1동,37.64793425,127.0118697,43,0,1,1,0,1
강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,화곡제3동,37.54466973,126.8351791,20,0,0,1,0,1
공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,가양제1동,37.55964945,126.8287913,9,1,0,1,0,3
관악구,서울 관악구 신림동길 14 신림동 주민센터,신림동,37.487396,126.9271139,20,0,0,1,0,1
관악산,과천시 자하동길 64 (관악산 중계소),중앙동,37.44112664,126.9644471,588,0,1,0,0,0
광진구,서울 광진구 광나루로 571 구의 아리수정수센터,구의제2동,37.54594731,127.0929507,40,0,1,1,0,2
구로구,서울 구로구 가마산로 27길 45 구로고등학교,구로제5동,37.49884008,126.8903092,10,0,0,1,0,1
금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,시흥제5동,37.45233457,126.9080537,25,0,0,1,0,1
남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),용산2가동,37.5511821,126.9876498,260,0,1,0,0,2
노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),상계2동,37.65748313,127.0678641,30,0,0,1,0,1
도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,쌍문4동,37.6542176,127.0290801,67,0,1,0,0,2
도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,신사동,37.51607746,127.0203412,24,1,0,1,0,3
동대문구,서울 동대문구 천호대로13길 43 용두초등학교,용신동,37.57640498,127.028382,18,1,0,1,0,2
동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,사당제4동,37.48097575,126.9716337,26,0,0,1,0,1
동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,사당제1동,37.48945977,126.9824745,12,1,0,1,0,3
마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,망원1동,37.55558837,126.9055913,8,0,0,1,0,1
북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),우이동,37.67901408,127.002294,114,0,1,0,0,0
서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터),홍제3동,37.59376657,126.9496911,44,0,0,1,0,2
서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,반포2동,37.50458542,126.9944717,10,0,0,1,0,1
성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,성수1가제1동,37.54203238,127.0496885,11,0,0,1,0,1
성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,길음2동,37.60681328,127.0272803,34,1,0,1,0,2
세곡,서울 강남구 밤고개로 337 (세곡사거리),세곡동,37.46408289,127.1090843,23,1,0,0,0,2
송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),삼전동,37.50272901,127.0925211,14,1,0,1,0,1
시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,독산제1동,37.47496364,126.8986765,26,1,0,1,0,3
신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),대흥동,37.55517177,126.9361424,18,1,0,1,0,3
양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,신정4동,37.52597518,126.8566021,13,0,0,1,0,1
영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),당산제1동,37.52596316,126.8963671,8,1,1,1,0,1
영등포로,서울 영등포구 영중로 37 (영등포시장사거리),영등포동,37.51948008,126.9047117,9,1,0,1,0,3
용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,한남동,37.53485709,127.0002687,49,0,0,1,0,1
은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),불광제1동,37.60987179,126.9343249,33,1,1,0,0,2
정릉로,서울 성북구 돈암동 8-164번지,돈암제1동,37.60352172,127.0259508,34,1,0,1,0,3
종로,서울 종로구 종로 169 (종묘주차장 앞),종로1.2.3.4가동,37.57091931,126.9965554,21,1,1,1,0,1
종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터","종로5,6가동",37.57206117,127.0050313,20,0,0,1,0,1
중구,서울 중구 덕수궁길 15 시청서소문별관 3동,소공동,37.56455419,126.9756136,31,1,0,1,0,1
중랑구,서울 중랑구 용마산로 369 건강가정지원센터,면독3.8동,37.58491272,127.0940363,37,1,0,1,0,2
천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),길동,37.53415608,127.1393358,20,1,0,1,0,3
청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),을지로동,37.56863811,126.9981855,19,1,0,1,0,3
한강대로,서울 용산구 한강대로 405 (서울역 앞),남영동,37.5548376,126.9717326,26,1,0,1,0,3
행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),신곡리,37.60908701,126.7863203,19,0,1,0,1,2
홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),전농제1동,37.58045291,127.0443683,14,0,0,1,0,3
화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,공릉동,37.6177942,127.0751588,19,1,0,1,0,1
마포아트센터,서울 마포구 대흥로20길 28 (마포아트센터),대흥동,37.54990609,126.9455338,17,1,0,1,0,2
서울숲,서울 성동구 뚝섬로 273 (서울숲 방문자센터 옆),성수1가제1동,37.54307015,127.0417991,12,0,1,0,0,2
올림픽공원,서울 송파구 올림픽로 424 (서울역사편찬원),오륜동,37.5203397,127.1155179,17,1,0,1,0,2
자연사박물관,서울 서대문구 연희로32길 51 (서대문자연사박물관),서대문구,37.57675199,126.9378582,75,0,0,1,0,2
항동,서울 구로구 연동로 240 (푸른수목원 내),구로구,37.48196844,126.8236695,24,1,1,1,0,0